,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,genre,kind
8,frère,brother
9,mettre,to put
10,laisse,leash
11,eux,them
12,ville,city
13,chaque,each
14,parlé,speak
15,devrait,should
16,bébé,baby
17,heures,hours
18,revoir,meet again
19,aucune,any
20,parle,speak
21,étaient,were
22,attention,Warning
23,voici,here is
24,affaire,case
25,donner,give
26,type,type
27,leurs,their
28,donné,given
29,train,train
30,corps,body
31,endroit,place
32,yeux,eyes
33,façon,way
34,dont,whose
35,trouve,find
36,premier,first
37,main,hand
38,première,first
39,pouvoir,power
40,vieux,old
41,sois,be
42,matin,morning
43,tellement,so much
44,point,point
45,venu,came
46,suite,after
47,pardon,sorry
48,venez,come
49,vers,towards
50,minutes,minutes
51,demandé,request
52,chambre,bedroom
53,mis,placed
54,belle,beautiful
55,droit,law
56,aimerais,would like to
57,espère,hope
58,eau,water
59,attendez,Wait
60,parti,left
61,nouvelle,new
62,dirait,would say
63,donne,given
64,croire,believe
65,gros,large
66,plutôt,rather
67,jouer,to play
68,bureau,office
